time,vehicle_id,x,y,speed,angle,lane,pos,anomaly,depart,edges,edge_id,lane_id,length,lane_speed,shape,acceleration,jerk,stopped,stopped_time,leader_distance,gap_time,following_time,lane_change_rate
746.0,39,395.3700661862067,383.4210766315651,2.47080634998064,243.828230150174,ET03_1,5.403259489431472,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",-4.5,-1.5091234892442351,0,1.0,7.789665601928052,3.152681553529716,,
747.0,39,395.20435993199857,383.33964043462754,0.1865346326100013,243.82823015017465,ET03_1,5.589794122041473,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",-2.284271717370639,2.215728282629361,0,1.0,7.7482295905359075,41.5377535105536,,
748.0,39,395.0484336374652,383.2630105905094,0.175525384989341,243.8282301501743,ET03_1,5.765319507030815,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",-0.0110092476206603,2.2732624697499784,0,1.0,7.833525746921053,44.629019029907006,,
749.0,39,394.8022455522292,383.14202166653206,0.2771325937690955,243.82823015017465,ET03_1,6.04245210079991,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",0.1016072087797544,0.1126164564004147,0,1.0,8.0136518147418,28.916309358467977,,
750.0,39,394.3038525502168,382.8970868518617,0.5610383022055734,243.828230150174,ET03_1,6.603490403005483,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",0.2839057084364779,0.1822984996567234,0,1.0,8.227736737559136,14.665196128702746,,
751.0,39,393.7294092420626,382.6147771792675,0.6466477198091877,243.82823015017465,ET03_1,7.250138122814671,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",0.0856094176036142,-0.1982962908328636,0,1.0,8.13075813147681,12.573705717041774,,
752.0,39,393.3264703528163,382.4167532066946,0.4535861246096156,243.82823015017465,ET03_1,7.703724247424287,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",-0.193061595199572,-0.2786710128031863,0,1.0,8.384909923014188,18.48581662463939,,
753.0,39,392.6662864033541,382.09230636924514,0.7431654952097619,243.82823015017493,ET03_1,8.446889742634049,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",0.2895793706001463,0.4826409657997184,0,1.0,8.163737593978187,10.985086964612012,,
754.0,39,392.2139830059424,381.8700222513452,0.5091554840077165,243.82823015017465,ET03_1,8.956045226641766,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",-0.2340100112020454,-0.5235893818021917,0,1.0,8.540491825182068,16.773838431351617,,
755.0,39,391.30425695212006,381.42293816008777,1.0240736901357397,243.828230150174,ET03_1,9.980118916777506,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",0.5149182061280232,0.7489282173300686,0,1.0,8.173281260549622,7.981145633637228,,
